    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)        fxyz         fx3          fy3          fz3       fx(y2-z2)    fy(z2-x2)    fz(x2-y2)        f          Int(f)       total      Int(total) 
 -133.0000  4.39244E-13  6.69754E-13  1.75039E-13  1.56670E-13  1.65859E-13  4.97569E-13  7.49432E-13  3.42906E-14  2.02959E-14  8.34992E-14  4.13810E-14  4.84399E-14  2.27907E-13  3.39597E-13  4.18125E-14  6.14268E-14  3.36909E-14  5.47915E-14  6.30126E-14  2.18236E-14  6.72070E-14  3.43765E-13  5.30039E-13  1.50848E-12  2.28882E-12
 -132.5000  4.34779E-13  6.85732E-13  1.73421E-13  1.55055E-13  1.64251E-13  4.92728E-13  7.67540E-13  3.39147E-14  2.00417E-14  8.29650E-14  4.08741E-14  4.80504E-14  2.25846E-13  3.47896E-13  4.12947E-14  6.08157E-14  3.32382E-14  5.41162E-14  6.24518E-14  2.13726E-14  6.66814E-14  3.39971E-13  5.42533E-13  1.49332E-12  2.34370E-12
 -132.0000  4.30289E-13  7.01545E-13  1.71809E-13  1.53457E-13  1.62639E-13  4.87905E-13  7.85470E-13  3.35509E-14  1.97935E-14  8.24332E-14  4.03662E-14  4.76241E-14  2.23768E-13  3.56120E-13  4.07805E-14  6.02122E-14  3.27874E-14  5.34442E-14  6.18912E-14  2.09226E-14  6.61565E-14  3.36195E-13  5.54888E-13  1.47816E-12  2.39802E-12
 -131.5000  4.25795E-13  7.17193E-13  1.70193E-13  1.51855E-13  1.61038E-13  4.83086E-13  8.03223E-13  3.31676E-14  1.95115E-14  8.18903E-14  3.98424E-14  4.72219E-14  2.21634E-13  3.64265E-13  4.02664E-14  5.96080E-14  3.23411E-14  5.27756E-14  6.13344E-14  2.04723E-14  6.56345E-14  3.32432E-13  5.67105E-13  1.46295E-12  2.45179E-12
 -131.0000  4.21316E-13  7.32676E-13  1.68590E-13  1.50263E-13  1.59435E-13  4.78289E-13  8.20800E-13  3.27797E-14  1.92790E-14  8.13568E-14  3.93386E-14  4.68292E-14  2.19583E-13  3.72334E-13  3.97539E-14  5.90071E-14  3.19029E-14  5.21098E-14  6.07807E-14  2.00305E-14  6.51120E-14  3.28697E-13  5.79184E-13  1.44789E-12  2.50499E-12
 -130.5000  4.16860E-13  7.47995E-13  1.66991E-13  1.48673E-13  1.57837E-13  4.73501E-13  8.38201E-13  3.24041E-14  1.90165E-14  8.08246E-14  3.88182E-14  4.64235E-14  2.17487E-13  3.80327E-13  3.92453E-14  5.84073E-14  3.14632E-14  5.14479E-14  6.02296E-14  1.95906E-14  6.45925E-14  3.24976E-13  5.91127E-13  1.43282E-12  2.55765E-12
 -130.0000  4.12489E-13  7.63154E-13  1.65393E-13  1.47092E-13  1.56250E-13  4.68735E-13  8.55426E-13  3.20239E-14  1.87539E-14  8.02747E-14  3.82963E-14  4.60224E-14  2.15371E-13  3.88241E-13  3.87344E-14  5.78116E-14  3.10254E-14  5.07899E-14  5.96824E-14  1.91553E-14  6.40743E-14  3.21273E-13  6.02933E-13  1.41787E-12  2.60976E-12
 -129.5000  4.08148E-13  7.78153E-13  1.63802E-13  1.45514E-13  1.54666E-13  4.63982E-13  8.72477E-13  3.16613E-14  1.85104E-14  7.97427E-14  3.77973E-14  4.56309E-14  2.13343E-13  3.96082E-13  3.82279E-14  5.72211E-14  3.05920E-14  5.01342E-14  5.91365E-14  1.87215E-14  6.35548E-14  3.17588E-13  6.14605E-13  1.40306E-12  2.66132E-12
 -129.0000  4.03796E-13  7.92992E-13  1.62216E-13  1.43937E-13  1.53087E-13  4.59241E-13  8.89354E-13  3.12888E-14  1.82620E-14  7.92218E-14  3.72805E-14  4.52145E-14  2.11268E-13  4.03846E-13  3.77218E-14  5.66335E-14  3.01707E-14  4.94831E-14  5.85945E-14  1.82925E-14  6.30395E-14  3.13936E-13  6.26141E-13  1.38824E-12  2.71233E-12
 -128.5000  3.99475E-13  8.07673E-13  1.60638E-13  1.42374E-13  1.51511E-13  4.54523E-13  9.06058E-13  3.09186E-14  1.80205E-14  7.86753E-14  3.67747E-14  4.48302E-14  2.09219E-13  4.11534E-13  3.72177E-14  5.60475E-14  2.97463E-14  4.88345E-14  5.80556E-14  1.78643E-14  6.25256E-14  3.10292E-13  6.37544E-13  1.37351E-12  2.76281E-12
 -128.0000  3.95196E-13  8.22196E-13  1.59059E-13  1.40814E-13  1.49943E-13  4.49815E-13  9.22588E-13  3.05424E-14  1.77641E-14  7.81427E-14  3.62697E-14  4.44282E-14  2.07147E-13  4.19147E-13  3.67164E-14  5.54658E-14  2.93318E-14  4.81911E-14  5.75223E-14  1.74447E-14  6.20123E-14  3.06684E-13  6.48815E-13  1.35884E-12  2.81275E-12
 -127.5000  3.90901E-13  8.36561E-13  1.57491E-13  1.39261E-13  1.48389E-13  4.45142E-13  9.38947E-13  3.01669E-14  1.75256E-14  7.76009E-14  3.57587E-14  4.40227E-14  2.05075E-13  4.26683E-13  3.62181E-14  5.48868E-14  2.89083E-14  4.75506E-14  5.69910E-14  1.70269E-14  6.14994E-14  3.03081E-13  6.59953E-13  1.34420E-12  2.86214E-12
 -127.0000  3.86630E-13  8.50769E-13  1.55930E-13  1.37706E-13  1.46827E-13  4.40462E-13  9.55133E-13  2.98051E-14  1.72793E-14  7.70650E-14  3.52597E-14  4.36343E-14  2.03043E-13  4.34145E-13  3.57180E-14  5.43111E-14  2.84997E-14  4.69137E-14  5.64618E-14  1.66152E-14  6.09900E-14  2.99510E-13  6.70960E-13  1.32964E-12  2.91101E-12
 -126.5000  3.82496E-13  8.64826E-13  1.54372E-13  1.36159E-13  1.45275E-13  4.35806E-13  9.71149E-13  2.94462E-14  1.70363E-14  7.65419E-14  3.47504E-14  4.32292E-14  2.01004E-13  4.41532E-13  3.52221E-14  5.37391E-14  2.80934E-14  4.62812E-14  5.59347E-14  1.62033E-14  6.04817E-14  2.95955E-13  6.81836E-13  1.31526E-12  2.95934E-12
 -126.0000  3.78265E-13  8.78727E-13  1.52820E-13  1.34625E-13  1.43730E-13  4.31175E-13  9.86994E-13  2.90637E-14  1.67767E-14  7.59964E-14  3.42510E-14  4.28415E-14  1.98929E-13  4.48842E-13  3.47279E-14  5.31688E-14  2.76876E-14  4.56531E-14  5.54133E-14  1.57943E-14  5.99747E-14  2.92420E-13  6.92582E-13  1.30079E-12  3.00715E-12
 -125.5000  3.74165E-13  8.92477E-13  1.51275E-13  1.33094E-13  1.42182E-13  4.26551E-13  1.00267E-12  2.86996E-14  1.65352E-14  7.54698E-14  3.37524E-14  4.24489E-14  1.96906E-13  4.56078E-13  3.42377E-14  5.26046E-14  2.72887E-14  4.50274E-14  5.48949E-14  1.53961E-14  5.94677E-14  2.88917E-13  7.03200E-13  1.28654E-12  3.05442E-12
 -125.0000  3.70047E-13  9.06076E-13  1.49732E-13  1.31560E-13  1.40652E-13  4.21944E-13  1.01818E-12  2.83321E-14  1.63079E-14  7.49339E-14  3.32359E-14  4.20458E-14  1.94856E-13  4.63239E-13  3.37466E-14  5.20417E-14  2.68883E-14  4.44078E-14  5.43789E-14  1.49935E-14  5.89633E-14  2.85420E-13  7.13689E-13  1.27227E-12  3.10118E-12
 -124.5000  3.65950E-13  9.19525E-13  1.48197E-13  1.30045E-13  1.39128E-13  4.17369E-13  1.03351E-12  2.79737E-14  1.60551E-14  7.44051E-14  3.27383E-14  4.16615E-14  1.92834E-13  4.70326E-13  3.32599E-14  5.14821E-14  2.64968E-14  4.37898E-14  5.38653E-14  1.46015E-14  5.84609E-14  2.81956E-13  7.24050E-13  1.25811E-12  3.14741E-12
 -124.0000  3.61898E-13  9.32824E-13  1.46669E-13  1.28531E-13  1.37607E-13  4.12807E-13  1.04868E-12  2.76226E-14  1.58205E-14  7.38784E-14  3.22480E-14  4.12712E-14  1.90841E-13  4.77339E-13  3.27731E-14  5.09278E-14  2.61068E-14  4.31778E-14  5.33553E-14  1.42103E-14  5.79603E-14  2.78511E-13  7.34285E-13  1.24406E-12  3.19313E-12
 -123.5000  3.57866E-13  9.45975E-13  1.45144E-13  1.27021E-13  1.36090E-13  4.08256E-13  1.06369E-12  2.72486E-14  1.55910E-14  7.33483E-14  3.17392E-14  4.08909E-14  1.88818E-13  4.84278E-13  3.22888E-14  5.03762E-14  2.57253E-14  4.25698E-14  5.28498E-14  1.38227E-14  5.74609E-14  2.75094E-13  7.44395E-13  1.23003E-12  3.23834E-12
 -123.0000  3.53820E-13  9.58978E-13  1.43629E-13  1.25522E-13  1.34581E-13  4.03732E-13  1.07852E-12  2.68818E-14  1.53564E-14  7.28106E-14  3.12379E-14  4.04960E-14  1.86783E-13  4.91142E-13  3.18088E-14  4.98280E-14  2.53413E-14  4.19660E-14  5.23498E-14  1.34420E-14  5.69639E-14  2.71700E-13  7.54380E-13  1.21603E-12  3.28302E-12
 -122.5000  3.49913E-13  9.71837E-13  1.42117E-13  1.24023E-13  1.33076E-13  3.99216E-13  1.09320E-12  2.65278E-14  1.51274E-14  7.22896E-14  3.07402E-14  4.01065E-14  1.84791E-13  4.97933E-13  3.13300E-14  4.92844E-14  2.49616E-14  4.13667E-14  5.18488E-14  1.30587E-14  5.64673E-14  2.68317E-13  7.64240E-13  1.20224E-12  3.32721E-12
 -122.0000  3.45992E-13  9.84552E-13  1.40614E-13  1.22535E-13  1.31581E-13  3.94729E-13  1.10770E-12  2.61772E-14  1.49032E-14  7.17736E-14  3.02539E-14  3.97149E-14  1.82823E-13  5.04651E-13  3.08526E-14  4.87419E-14  2.45919E-14  4.07710E-14  5.13534E-14  1.26861E-14  5.59746E-14  2.64972E-13  7.73978E-13  1.18852E-12  3.37088E-12
 -121.5000  3.42120E-13  9.97125E-13  1.39114E-13  1.21054E-13  1.30093E-13  3.90260E-13  1.12204E-12  2.58156E-14  1.46459E-14  7.12376E-14  2.97459E-14  3.93375E-14  1.80783E-13  5.11295E-13  3.03789E-14  4.82063E-14  2.42229E-14  4.01816E-14  5.08617E-14  1.23148E-14  5.54829E-14  2.61649E-13  7.83593E-13  1.17481E-12  3.41406E-12
 -121.0000  3.38274E-13  1.00956E-12  1.37627E-13  1.19579E-13  1.28608E-13  3.85814E-13  1.13622E-12  2.54692E-14  1.44184E-14  7.07178E-14  2.92602E-14  3.89478E-14  1.78813E-13  5.17866E-13  2.99047E-14  4.76741E-14  2.38557E-14  3.95951E-14  5.03718E-14  1.19480E-14  5.49922E-14  2.58342E-13  7.93087E-13  1.16124E-12  3.45673E-12
 -120.5000  3.34473E-13  1.02185E-12  1.36139E-13  1.18111E-13  1.27134E-13  3.81383E-13  1.15024E-12  2.51139E-14  1.42035E-14  7.01853E-14  2.87844E-14  3.85765E-14  1.76864E-13  5.24366E-13  2.94379E-14  4.71469E-14  2.34975E-14  3.90149E-14  4.98908E-14  1.15853E-14  5.45067E-14  2.55080E-13  8.02461E-13  1.14780E-12  3.49891E-12
 -120.0000  3.30753E-13  1.03400E-12  1.34661E-13  1.16652E-13  1.25662E-13  3.76976E-13  1.16409E-12  2.47477E-14  1.39796E-14  6.96577E-14  2.82766E-14  3.81876E-14  1.74849E-13  5.30792E-13  2.89700E-14  4.66203E-14  2.31350E-14  3.84387E-14  4.94104E-14  1.12234E-14  5.40202E-14  2.51818E-13  8.11715E-13  1.13440E-12  3.54060E-12
 -119.5000  3.27007E-13  1.04602E-12  1.33189E-13  1.15194E-13  1.24200E-13  3.72583E-13  1.17778E-12  2.44024E-14  1.37476E-14  6.91336E-14  2.77875E-14  3.78153E-14  1.72886E-13  5.37145E-13  2.85069E-14  4.60994E-14  2.27834E-14  3.78688E-14  4.89328E-14  1.08720E-14  5.35357E-14  2.48599E-13  8.20851E-13  1.12108E-12  3.58180E-12
 -119.0000  3.23356E-13  1.05790E-12  1.31724E-13  1.13748E-13  1.22744E-13  3.68215E-13  1.19131E-12  2.40705E-14  1.35209E-14  6.85966E-14  2.73087E-14  3.74321E-14  1.70929E-13  5.43427E-13  2.80454E-14  4.55827E-14  2.24376E-14  3.73032E-14  4.84579E-14  1.05231E-14  5.30525E-14  2.45402E-13  8.29869E-13  1.10790E-12  3.62251E-12
 -118.5000  3.19766E-13  1.06965E-12  1.30269E-13  1.12310E-13  1.21296E-13  3.63876E-13  1.20469E-12  2.37183E-14  1.33061E-14  6.80798E-14  2.68051E-14  3.70630E-14  1.68972E-13  5.49636E-13  2.75866E-14  4.50702E-14  2.20894E-14  3.67432E-14  4.79901E-14  1.01766E-14  5.25762E-14  2.42232E-13  8.38771E-13  1.09485E-12  3.66275E-12
 -118.0000  3.16213E-13  1.08127E-12  1.28822E-13  1.10879E-13  1.19853E-13  3.59554E-13  1.21790E-12  2.33677E-14  1.30854E-14  6.75707E-14  2.63319E-14  3.66721E-14  1.67028E-13  5.55774E-13  2.71326E-14  4.45634E-14  2.17550E-14  3.61887E-14  4.75280E-14  9.83600E-15  5.20982E-14  2.39102E-13  8.47558E-13  1.08190E-12  3.70251E-12
